titulo ,score,date
One Punch Man,8.56,"Oct 5, 2015, 01:05 (JST)"
Steins;Gate,9.11,"Apr 6, 2011, 02:05 (JST)"
Code Geass: Hangyaku no Lelouch,8.71,"Oct 6, 2006, 01:25 (JST)"
Code Geass: Hangyaku no Lelouch R2,8.91,"Apr 6, 2008, 17:00 (JST)"
Kiseijuu: Sei no Kakuritsu,8.39,"Oct 9, 2014, 01:29 (JST)"
Cowboy Bebop,8.78,"Apr 3, 1998, 01:00 (JST)"
Psycho-Pass,8.38,"Oct 12, 2012, 00:45 (JST)"
Tengen Toppa Gurren Lagann,8.66,"Apr 1, 2007, 08:30 (JST)"
Neon Genesis Evangelion,8.32,"Oct 4, 1995, 18:30 (JST)"
Yakusoku no Neverland,8.64,"Jan 10, 2019, 00:55 (JST)"
Darling in the FranXX,7.33,"Jan 13, 2018, 23:30 (JST)"
One Punch Man 2nd Season,7.41,"Apr 10, 2019, 01:35 (JST)"
Dr. Stone,8.33,"Jul 5, 2019, 22:00 (JST)"
Guilty Crown,7.50,"Oct 14, 2011, 01:15 (JST)"
Deadman Wonderland,7.21,"Apr 17, 2011, 01:00 (JST)"
Made in Abyss,8.74,"Jul 7, 2017, 21:30 (JST)"
Mahouka Koukou no Rettousei,7.51,"Apr 6, 2014, 00:30 (JST)"
Gintama,8.96,"Apr 4, 2006, 18:00 (JST)"
Darker than Black: Kuro no Keiyakusha,8.11,"Apr 6, 2007"
Suzumiya Haruhi no Yuuutsu,7.87,"Apr 3, 2006, 00:00 (JST)"
Date A Live,7.22,"Apr 6, 2013, 01:30 (JST)"
Black Bullet,7.16,"Apr 8, 2014, 22:30 (JST)"
Btooom!,7.38,"Oct 4, 2012, 23:00 (JST)"
Plastic Memories,7.93,"Apr 5, 2015, 00:30 (JST)"
Toaru Majutsu no Index,7.43,"Oct 5, 2008, 01:35 (JST)"
Toki wo Kakeru Shoujo,8.19,"Jul 15, 2006"
Shinsekai yori,8.35,"Sep 29, 2012, 00:30 (JST)"
FLCL,8.03,"Apr 26, 2000"
Accel World,7.31,"Apr 7, 2012, 00:30 (JST)"
Steins;Gate 0,8.51,"Apr 12, 2018, 01:35 (JST)"
Neon Genesis Evangelion: The End of Evangelion,8.52,"Jul 19, 1997"
Akira,8.17,"Jul 16, 1988"
Trigun,8.23,"Apr 1, 1998, 01:15 (JST)"
Orange,7.62,"Jul 4, 2016, 00:00 (JST)"
Kiznaiver,7.43,"Apr 9, 2016, 23:30 (JST)"
Yakusoku no Neverland 2nd Season,6.89,"Jan 8, 2021, 01:25 (JST)"
